# Complex AWS sample service list - IDs must match <item> tags in .xal files
# Format: id,OfficialName,Abbreviation,Summary,Usage,Notes
13,AWS Lambda,Lambda,Serverless compute,Event-driven processing and background jobs,
27,Amazon EC2,EC2,Virtual server,Web application compute tier,
110,Amazon Aurora,Aurora,Managed relational database,Primary application data store,
113,Amazon ElastiCache,Cache,In-memory cache,Session and hot data cache,
216,AWS Identity and Access Management,IAM,Identity and access control,Access policy and role management,
227,AWS WAF,WAF,Web application firewall,Edge request filtering,
547,Amazon Elastic Container Service,ECS,Container orchestration,API and service workloads,
1020,Amazon Simple Storage Service,S3,Object storage,Static assets and job outputs,
1178,Amazon CloudFront,CF,Content delivery network,Global content distribution,
1179,Amazon Route 53,R53,DNS service,Public DNS routing,
1182,Elastic Load Balancing,ELB,Load balancing,Distribute web traffic,
1581,Amazon VPC Internet Gateway,IGW,Internet gateway,VPC internet connectivity,
1582,Amazon VPC NAT Gateway,NATGW,NAT gateway,Private subnet outbound internet,
